driverId,name,ssn,location,certified,wage-plan
10,Andrew Chavez,705-90-4098,"150 Oliver Glen Suite 352
North Amandaton, SC 87297",Y,miles
11,Chad Simmons,364-13-3255,"34549 Sandra Circles Apt. 758
Weavershire, OH 13593",N,miles
12,Allison Smith DDS,370-08-4939,"437 Knapp Tunnel Apt. 349
Johnton, MN 37545",N,hours
13,Michelle Bray MD,560-29-5029,"04999 Shannon Trace Apt. 424
Port Heather, CA 46406",Y,hours
14,Tamara White,322-03-1325,"382 Baker Ports Suite 013
New Jeffreyburgh, KY 15539",N,miles
15,Matthew Garcia,630-03-2415,"95345 Hansen Streets
Joelmouth, WA 12708",Y,miles
16,Megan Wallace,026-25-7619,"9907 Richard Inlet
New Anthony, RI 01709",Y,miles
17,Jeffrey Clarke,869-88-8898,"PSC 9986, Box 5734
APO AP 56120",Y,miles
18,Victoria Weber,457-63-2019,"7461 Williams View
Deborahton, ID 65998",Y,miles
19,Alison Turner,616-40-9055,"150 Larsen Flat Apt. 162
Ronaldbury, CT 47392",N,miles
20,Craig Watts,233-29-6714,"9363 Keller Mountains
Mikemouth, DC 25920",N,hours
21,David Taylor,551-05-8309,"53766 Kristy Key
East Paulville, MS 37764",Y,miles
22,Anna Martinez,552-02-1282,"77519 Stephanie Ways
Hammondburgh, HI 48745",N,hours
23,Alyssa Frye,298-33-4168,"5953 Wendy Wells Apt. 880
Port Samantha, KY 37775",N,hours
24,Veronica Padilla,360-84-8578,"9110 Johnson Expressway
Lestad, DC 75439",Y,miles
25,Dr. Sheena Lambert MD,372-18-0732,"16316 Brian Ville
Brianchester, CA 42172",N,hours
26,James Hinton,186-34-8904,"591 Elizabeth Lock
Garyside, RI 77257",N,miles
27,Mark Atkinson,257-75-0970,"16181 Steven Meadows
Lauraton, MA 40991",N,hours
28,Alison Sexton,298-92-5206,"0085 Torres Mews Apt. 499
North Taylormouth, RI 12066",Y,miles
29,Christina York,508-04-9180,"557 Sean Land
Hendrixshire, TX 19163",Y,hours
30,Victor Mccormick,076-02-2394,"419 Rodney Lakes
North Marcobury, KY 91470",Y,hours
31,Maria Payne,283-63-5720,"729 Marquez Drive Apt. 240
Hinesberg, ME 42440",Y,miles
32,Jacob White,227-30-8685,"0426 Taylor Mill Apt. 843
South Rodneybury, GU 49115",N,hours
33,Andrea Ortega,701-13-7423,"6446 Gomez Court
Toddville, ME 70535",N,miles
34,Dennis Gordon,637-96-6169,"05651 Escobar Center
Port Charlesmouth, SD 94656",N,hours
35,Omar Stevens,307-57-8102,"575 Mcpherson Crest
New Lindaview, MS 80378",Y,hours
36,Tonya Wood,727-97-9762,"6972 Stephanie Pass Suite 395
East Russellville, MS 92187",N,hours
37,Mark Franklin,568-19-3684,"8153 Brown Land Apt. 880
Nathanview, NV 29973",Y,hours
